_id,package_name,input_id,type,service_type,original_network_id,transport_stream_id,service_id,display_number,display_name,network_affiliation,description,video_format,browsable,searchable,selectable,locked,app_link_icon_uri,app_link_poster_art_uri,app_link_text,app_link_color,app_link_intent_uri,internal_provider_data,internal_provider_flag1,internal_provider_flag2,internal_provider_flag3,internal_provider_flag4,logo,version_number,channel_genre,cam_channel
3125,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&3&864&864&,172,5,12188,864,BTV News 24X7,,,,1,1,1,0,,,,,,,,,,,,,3&3&7&65&,0
3126,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&5&866&866&,172,6,12116,866,Public TV,,,,1,1,1,0,,,,,,,,,,,,,2&7&65&,0
3127,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&1&871&871&,172,2,13131,871,Colors Super,,,,1,1,1,0,,,,,,,,,,,,,2&22&65&,0
3128,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&2&888&888&,172,3,13077,888,ETV Cinema,,,,1,1,1,0,,,,,,,,,,,,,2&7&63&,0
3129,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&4&889&889&,172,11,13120,889,ETV Life,,,,1,1,1,0,,,,,,,,,,,,,2&20&63&,0
3130,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&11&890&890&,172,12,13136,890,MAA HD,,,VIDEO_FORMAT_HD,1,1,1,0,,,,,,,,,,,,,4&7&15&20&63&,0
3131,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&23&891&891&,172,9,13144,891,Zee Cinemalu,,,,1,1,1,0,,,,,,,,,,,,,4&7&14&35&63&,0
3132,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&3&894&894&,172,5,13111,894,Vijay HD,,,VIDEO_FORMAT_HD,1,1,1,0,,,,,,,,,,,,,4&14&15&19&62&,0
3133,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&1&895&895&,172,2,13107,895,Malai Murasu,,,,1,1,1,0,,,,,,,,,,,,,4&3&7&49&62&,0
3134,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&3&896&896&,172,5,13127,896,Madha tv,,,,1,1,1,0,,,,,,,,,,,,,2&9&62&,0
3135,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&8&897&897&,172,4,13138,897,Sathiyam TV,,,,1,1,1,0,,,,,,,,,,,,,4&3&7&49&62&,0
3136,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&23&898&898&,172,9,13141,898,VIJAY SUPER,,,,1,1,1,0,,,,,,,,,,,,,4&3&7&49&62&,0
3137,com.lge.android.tvinput,com.lge.android.tvinput/.dtv.DTvInputService,TYPE_OTHER,dvb://dtv&7&8&966&966&,172,4,13153,966,Naaptol Kannada,,,,1,1,1,0,,,,,,,,,,,,,4&7&14&22&65&,0
